referrer,views_total,views_unique
github.com,270,121
Google,7,4
l.facebook.com,3,1
githubmemory.com,2,2
com.google.android.gm,2,1
Baidu,1,1
issueexplorer.com,1,1
gitmemory.cn,1,1
