referrer,views_total,views_unique
Google,4583,2155
github.com,4245,1650
gorm.io,1759,717
disq.us,133,97
DuckDuckGo,75,38
Baidu,72,45
cn.bing.com,60,38
yandex.ru,50,18
Bing,23,12
awesome-go.com,18,14
