referrer,views_total,views_unique
Google,203,122
github.com,133,52
gorm.io,105,43
Baidu,6,1
cn.bing.com,4,2
DuckDuckGo,3,3
yandex.ru,2,2
mail.qq.com,2,1
ecosia.org,1,1
Bing,1,1
